ID,Title,Categories,_job_whatsapp,_cnpj_rede_lojas,geolocation_city,geolocation_state_long,geolocation_formatted_address,_job_custom_email,cep
5908,"Agittus Calçados",Vestuário,"+undefined 61 98599-3373",05.522.395/0001-06,"Asa Norte","Distrito Federal","Sdn, Asa Norte - DF, 70077-000, Brasil",yagodaniel16007@gmail.com,
5892,"Di Trento",Outros,"+55 48 99910-4077",54.148.429/0001-50,Videira,"Santa Catarina","Rua Nicolau Cavon, 70, Centro, Videira - SC, Brasil","loja.di.trento@gmail .com",88270-000
5889,"Loja Koerich &#8211; Matriz","Eletrodomésticos, Móveis e decorações","+55 48 98826-9797",86.184.074/0001-40,Florianópolis,"Santa Catarina","Rua Deodoro, Centro, Florianópolis - SC, 88010-020, Brasil",juridico@koerich.com.br,88010-020
5670,"GAROTA FLOR",Vestuário,"+55 47 98898-5333",23.063.418/0001-43,Indaial,"Santa Catarina","Avenida Getúlio Vargas, 79, Centro, Indaial - SC, 89080-024, Brasil",or.sy@hotmail.com,89080-024
5667,"Famiglia Luccine","Bares e Restaurantes, Supermercado","+55 3 43237-1199",15.650.924/0001-00,Uberlândia,"Minas Gerais","Rua José Humberto Alves, 176, Patrimônio, Uberlândia - MG, 38411-030, Brasil",pryscila@famiglialuccine.com.br,38411-030
5664,"Vivaldo&#8217;s Estofados Ltda",Serviços,"+55 5 43419-9800",04.646.640/0001-24,"Caxias do Sul","Rio Grande do Sul","Rua Dionísio Lorandi, 791, Bela Vista, Caxias do Sul - RS, 95072-000, Brasil",vivaldos.estofados@gmail.com,95074-490
5660,"AUTO MAIS CENTRO AUTOMOTIVO LTDA",Oficina,"+55 62 99885-7666",50.747.992/0001-93,Goiânia,Goiás,"Avenida Madrid, Novo Horizonte, Goiânia - GO, 74350-730, Brasil",administrativo@automaiscentroautomotivo.com,74350-730
5658,"Hardt Sports","Bolsas e mochilas, Esporte, Vestuário","+55 47 99118-1647",84.228.303/0001-56,Indaial,"Santa Catarina","Rua Marechal Deodoro da Fonseca, 229, Centro, Indaial - SC, 89080-060, Brasil",lojashardt2022@gmail.com,89080-060
5655,"FARMACIAS SAO RAFAEL","Farmácias e drogarias","+55 49 98806-7505",07.891.413/0001-52,Pinhalzinho,"Santa Catarina","Avenida Brasília, Pinhalzinho - SC, 89870-000, Brasil",farman.filial@hotfmail.com,
5652,"Hardt Ophício",Vestuário,"+55 47 99118-1647",84.228.303/0001-56,Indaial,"Santa Catarina","Rua Marechal Deodoro da Fonseca, 229, Centro, Indaial - SC, 89080-060, Brasil",joaohardt1921@gmail.com,89080-060
5649,"OTTO &amp; CIA","Ótica e joalheria","+55 96 98143-3239",34.384.969/0001-25,Macapá,Amapá,"Universidade, Macapá, AP, Brasil",ottosfinanceiro@gmail.com,
5644,"ATP Farmácia de Manipulação e Drogaria","Beleza e perfumaria, Farmácias e drogarias","+55 54 99623-1712",30.878.645/0001-92,"Caxias do Sul","Rio Grande do Sul","Rua Bento Gonçalves, 1339, Centro, Caxias do Sul - RS, 95020-412, Brasil",divinainf@gmail.com,
5640,"Lojas Hardt","Brinquedos e bebês, Cama, mesa e banho, Celulares e acessórios, Eletrodomésticos, Eletroportáteis, Esporte, Móveis e decorações, Vestuário","+55 47 99118-1647",84.228.303/0003-18,Indaial,"Santa Catarina","Rua Prefeito Frederico Hardt, 225, Centro, Indaial - SC, 89080-018, Brasil",mariaeduarda.lojashardt@gmail.com,89080-018
5637,OTTOS,"Ótica e joalheria","+55 98139-4545",26.010.704/0001-39,Macapá,Amapá,"Rua Leopoldo Machado, Trem, Macapá - AP, 68902-020, Brasil",ottosfinanceiro@gmail.com,
5632,"MAX MUSCLE FORTALEZA","Acessórios, Esporte, Suplementos","+55 85 98616-6857",24.004.024/0001-87,Fortaleza,Ceará,"Rua Lauro Nogueira, Papicu, Fortaleza - CE, 60175-055, Brasil",chmapu88@gmail.com,60175-055
5625,"Airmed Saúde",Outros,"+undefined 54 99931-8648",30.626.919/0001-56,"Caxias do Sul","Rio Grande do Sul","Rua Carlos Bianchini, Marechal Floriano, Caxias do Sul - RS, 95013-000, Brasil",Contato@airmedsaude.com.br,95013-000
