ID;Title;Categories;_job_whatsapp;_cnpj_rede_lojas;geolocation_city;geolocation_state_long;geolocation_formatted_address;_job_custom_email;cep
6069;"D&#8217; Casa Acabamentos";Casa e construção;+55 31 98747-9001;29.801.031/0001-23;Belo Horizonte;Minas Gerais;Rua Nossa Senhora de Guadalupe, Ouro Minas, Belo Horizonte - MG;dcasaacabentoss@hotmail.com;31870-000
5966;ARTKS ARQUITETURA;Outros;+55 47 99658-9358;35.568.281/0001-68;Blumenau;Santa Catarina;Rua G Fahrenheit, Tribess, Blumenau - SC;karinaarquiteta.dsg@gmail.com;89057-500
5962;GRÁFICA PANTONE;Outros;+55 4 99988-0447;11.633.789/0001-34;Chapecó;Santa Catarina;Rua Rui Barbosa - E, Presidente Médici, Chapecó - Santa Catarina, 89801-148, Brasil;atendimento@graficapantone.com;89801-148
5931;PRENDA SHOP;Vestuário;+55 27 99286-1855;34.429.576/0001-90;Serra;Espírito Santo;Rua Dos Cravos, Feu Rosa, Serra - Espírito Santo, 29172-105, Brasil;loja17@lojasprenda.com.br;
5922;FLORA PRODUTOS NATURAIS LTDA;Outros;+55 49 99988-0447;55.910.297/0001-14;Chapecó;Santa Catarina;Avenida Getúlio Vargas - S, Palmital, Chapecó - Santa Catarina, 89801-001, Brasil;floraprodutosnaturaischapeco@gmail.com;89801-000
5918;"R&amp;C INVEST CONSORCIO";Outros;+55 4 99988-0447;33.691.613/0001-71;Cordilheira Alta;Santa Catarina;Cordilheira Alta, Santa Catarina, Brasil;vendas@rconsorcio.com.br;89819-000
5913;PRENDA SHOP;Vestuário;+55 27 99701-6843;39.829.266/0001-87;Guarapari;Espírito Santo;Rua Doutor Roberto Calmon, Guarapari - Espírito Santo, 29202-410, Brasil;loja15@lojasprenda.com.br;
5957;PRENDA SHOP;Vestuário;+55 27 98123-0032;40.908.801/0001-74;Serra;Espírito Santo;Avenida Central, Parque Residencial Laranjeiras, Serra - Espírito Santo, 29165-130, Brasil;loja14@lojasprenda.com.br;
5952;PRENDA SHOP;Vestuário;+55 27 98152-0069;03.372.989/0001-52;Cariacica;Espírito Santo;Rua Paraguai, Jardim América, Cariacica - Espírito Santo, 29140-190, Brasil;loja12@lojasprenda.com.br;
5949;SMC IT INOVAÇÃO E TECNOLOGIA;Acessórios, Celulares e acessórios, Informática, Oficina, Serviços;+undefined 31 99396-8637;24.224.027/0001-26;Belo Horizonte;Minas Gerais;Rua Perdões, 269 Carlos Prates, Belo Horizonte - MG;alexandresantos@smcit.com.br;30710-520
5944;LORENCI WOMAN;Vestuário;+55 54 99148-5158;08.275.222/0001-29;Erechim;Rio Grande do Sul;Avenida Sete De Setembro, Centro, Estância Velha - Rio Grande do Sul, 93600-330, Brasil;vanusazago@hotmail.com;99700-084
5939;Sulmed Materiais Hospitalares;Farmácias e drogarias;+undefined 5 43027-4473;19.618.161/0001-71;Caxias do Sul;Rio Grande do Sul;Rua Moreira César, Pio X, Caxias do Sul - Rio Grande do Sul, 95034-000, Brasil;michel@sulmedrs.com.br;95034-000
5934;Espaço Educacional Flávia Rita;Serviços;+55 3 13296-0590;16.691.116/0001-54;Belo Horizonte;Minas Gerais;Rua Antares, 101 A, Santa Lúcia, Belo Horizonte - MG;contato@flaviarita.com;30360-110
5908;PRENDA SHOP;Vestuário;+55 27 98157-0482;11.220.762/0001-10;Serra;Espírito Santo;Avenida Brasília, Porto Canoa, Serra - Espírito Santo, 29168-600, Brasil;loja9@lojasprenda.com.br;
5903;Gorby Lanches;Bares e Restaurantes;+55 48 99978-6560;85.387.876/0001-95;Criciúma;Santa Catarina;Rua Coronel Pedro Benedet, São José, Criciúma - Santa Catarina, 88801-250, Brasil;pedrohenriquemilanez@gmail.com;88801-250
5892;Apoio Mineiro;Supermercado;+55 31 99744-5106;07.399.636/0001-05;Belo Horizonte;Minas Gerais;Rodovia Municipal Vereador Joaquim Costa, Contagem - Minas Gerais, 32041-540, Brasil;atendimento@apoioentrega.com;
5670;PRENDA SHOP;Vestuário;+55 27 99703-5594;10.583.025/0001-19;Serra;Espírito Santo;Avenida Brasil, Novo Horizonte, Serra - ES,762;loja8@lojasprenda.com.br;
5667;Bilu Agropecuaria;Petshop;+55 51 99943-1639;23.719.960/0001-01;Sapiranga;Rio Grande do Sul;Avenida Vinte de Setembro, Sete de Setembro, Sapiranga - RS;biluagropecuaria@gmail.com;93819-000
5664;PRENDA SHOP;Vestuário;+55 27 99644-2804;11.159.259/0001-04;Vitória;Espírito Santo;Avenida Abido Saadi, São Francisco, Serra - Espírito Santo, 29175-110, Brasil;loja7@lojasprenda.com.br;
5660;Pet Amazon;Petshop;+55 92 98583-9190;42.730.908/0001-09;Manaus;Amazonas;Avenida São Jorge, São Jorge, Manaus - Amazonas, 69033-000, Brasil;maria@petamazon.com.br;69033-000
5658;PERFETTO UOMO LTDA;Vestuário;+55 4 99988-0447;14.109.767/0001-68;Chapecó;Santa Catarina;Avenida Getúlio Vargas - S, Palmital, Chapecó - Santa Catarina, 89801-001, Brasil;perfetto@perfettouomo.com.br;89801-002
5655;Top Star Joalheria;Relógios;+undefined 31 98584-5333;66.216.524/0001-22;Conselheiro Lafaiete;Minas Gerais;Rua Doutor Melo Viana 158, Conselheiro Lafaiete - Minas Gerais, 36400-070, Brasil;comercial@topstarjoalheria.com.br;36400-070
